Col # ,Field Name ,Data Type ,Format ,Description ,,,Client Field Definition 
128,Line Item Purchase Order ,String ,48,"The purchase order number associated with the invoice line item (for a multiple purchase order-based invoice), or the purchase order number associated with the header (for a single purchase order-based invoice). ",,,
129,Associated PO Line Item Number ,Numeric ,10,The PO line item number associated to the payment request. ,,,
130,Associated PO Line Item External ID ,String ,100,The PO line item external ID associated to the payment request. ,,,
131,Number Line Items ,Numeric ,Integer ,The number of line items for the payment request ,,,
132,Line Item Sequence Order ,Numeric ,Integer ,Line item number for the line item related to this Journal Entry ,,,
133,Line Item Description ,String ,255,,,,
134,Line Item Expense Type Code ,String ,7,The Primary Key value for the expense type as derived from the CTP_EXPENSE_TYPE database table. ,,,
135,Line Item Expense Type Name ,String ,64,,,,
136,Line Item Quantity ,String ,23,,,,
137,Line Item Unit Price ,Numeric ,23,,,,
138,Line Item Total ,Numeric ,23,,,,
139,Line Item Custom 1 ,String ,48,,,,
140,Line Item Custom 2 ,String ,48,,,,
141,Line Item Custom 3 ,String ,48,,,,
142,Line Item Custom 4 ,String ,48,,,,
143,Line Item Custom 5 ,String ,48,,,,
144,Line Item Custom 6 ,String ,48,,,,
145,Line Item Custom 7 ,String ,48,,,,
146,Line Item Custom 8 ,String ,48,,,,
147,Line Item Custom 9 ,String ,48,,,,
148,Line Item Custom 10 ,String ,48,,,,
149,Line Item Custom 11 ,String ,48,,,,
150,Line Item Custom 12 ,String ,48,,,,
151,Line Item Custom 13 ,String ,48,,,,
152,Line Item Custom 14 ,String ,48,,,,
153,Line Item Custom 15 ,String ,48,,,,
154,Line Item Custom 16 ,String ,48,,,,
155,Line Item Custom 17 ,String ,48,,,,
156,Line Item Custom 18 ,String ,48,,,,
157,Line Item Custom 19 ,String ,48,,,,
158,Line Item Custom 20 ,String ,48,,,,
159,Ship From Zip ,String ,20,,,,
160,Ship To Zip ,String ,20,,,,
161,Tax ,String ,23,,,,
162,Part Supplier ID ,String ,255,Invoice line item part supplier identification number. ,,,
163,Future-use 25 ,String ,48,reserved for future use. ,,,
164,Vendor Name ,String ,255,The financial system's name for this vendor ,,,
165,Vendor Code ,String ,32,The financial system's code for this vendor ,,,
166,Remit Address Code ,String ,Less than or equal to 64 ,The financial system's code for this address ,,,
167,Remit Address ID ,String ,20,This value uniquely defines this address and the associated vendor within Concur ,,,
168,Remit Address 1 ,String ,255,,,,
169,Remit Address 2 ,String ,255,,,,
170,Remit Address 3 ,String ,255,,,,
171,Remit City ,String ,255,,,,
172,Remit State ,String ,255,,,,
173,Remit Postal Code ,String ,20,,,,
174,Remit Country ,String ,2,,,,
175,Remit Contact First Name ,String ,255,,,,
176,Remit Contact Last Name ,String ,255,,,,
177,Remit Phone Number ,String ,25,,,,
178,Remit Custom 1 ,String ,48,,,,
179,Remit Custom 2 ,String ,48,,,,
180,Remit Custom 3 ,String ,48,,,,
181,Remit Custom 4 ,String ,48,,,,
182,Remit Custom 5 ,String ,48,,,,
183,Remit Custom 6 ,String ,48,,,,
184,Remit Custom 7 ,String ,48,,,,
185,Remit Custom 8 ,String ,48,,,,
186,Remit Custom 9 ,String ,48,,,,
187,Remit Custom 10 ,String ,48,,,,
188,Remit Custom 11 ,String ,48,,,,
189,Remit Custom 12 ,String ,48,,,,
190,Remit Custom 13 ,String ,48,,,,
191,Remit Custom 14 ,String ,48,,,,
192,Remit Custom 15 ,String ,48,,,,
193,Remit Vendor Location Image Received ,Y/N ,1,The Vendor Image for this vendor is available ,,,
194,Company Billing Address Tax ID ,VarChar ,48,The tax ID for the billing company ,,,
195,Future-use 27 ,String ,48,reserved for future use. ,,,
196,Future-use 28 ,String ,48,reserved for future use. ,,,
197,Future-use 29 ,String ,48,reserved for future use. ,,,
198,Future-use 30 ,String ,48,reserved for future use. ,,,
199,Reserved ,,,,,,
200,Reserved ,,,,,,
201,Reserved ,,,,,,
202,Reserved ,,,,,,
203,Reserved ,,,,,,
204,Reserved ,,,,,,
205,Reserved ,,,,,,
206,Reserved ,,,,,,
207,Vendor Includes VAT in Unit Price ,"(Y or N), default is N; case insensitive",1 character ,"This indicates whether or not VAT is included in the unit price. If it is, then the system does not include VAT when calculating the gross amount. ",,,
208,Reserved ,,,,,,
209,Reserved ,,,,,,
210,Reserved ,,,,,,
211,Reserved ,,,,,,
212,Prorated VAT Amount 1 ,Numeric ,23,This is the prorated VAT tax amount. ,,,
213,Prorated VAT Tax Code 1 ,Alphanumeric characters ,20,"This is the prorated VAT tax code. 
NOTE: Tax codes are applicable to payment requests only. ",,,
214,Prorated VAT Amount 2 ,Numeric ,23,"This is the prorated VAT tax amount. 
NOTE: Some countries will have two VAT amount fields because clients have more than one type of tax assessed and all the VAT amounts need to be stored. ",,,
215,Prorated VAT Tax Code 2 ,Alphanumeric characters ,20,"This is the prorated VAT tax code. 
NOTE: Tax codes are applicable to payment requests only. ",,,
216,Prorated VAT Amount 3 ,Numeric ,23,"This is the prorated VAT tax amount. 
NOTE: Some countries will have three VAT amount fields because clients have more than one type of tax assessed and all the VAT amounts need to be stored. ",,,
217,Prorated VAT Tax Code 3 ,Alphanumeric characters ,20,"This is the prorated VAT tax code. 
NOTE: Tax codes are applicable to payment requests only. ",,,
218,Prorated VAT Amount 4 ,Numeric ,23,"This is the prorated VAT tax amount. 
NOTE: Some countries will have four VAT amount fields because clients have more than one type of tax assessed and all the VAT amounts need to be stored. ",,,
219,Prorated VAT Tax Code 4 ,Alphanumeric characters ,20,"This is the prorated VAT tax code. 
NOTE: Tax codes are applicable to payment requests only. ",,,
220,VAT Tax Code 2 ,Alphanumeric characters ,Up to 20 characters ,"You can associate a tax code to a relevant set of vendors. This information will then feed into your financial system to make it easier for your company to handle tax. The Tax Code field is an arbitrary field and will be a read-only field for the user. 
NOTE: Tax codes are applicable to payment requests only. ",,,
221,VAT Tax Code 3 ,Alphanumeric characters ,Up to 20 characters ,"You can associate a tax code to a relevant set of vendors. This information will then feed into your financial system to make it easier for your company to handle tax. The Tax Code field is an arbitrary field and will be a read-only field for the user. 
NOTE: Tax codes are applicable to payment requests only. ",,,
222,VAT Tax Code 4 ,Alphanumeric characters ,Up to 20 characters ,"You can associate a tax code to a relevant set of vendors. This information will then feed into your financial system to make it easier for your company to handle tax. The Tax Code field is an arbitrary field and will be a read-only field for the user. 
NOTE: Tax codes are applicable to payment requests only. ",,,
223,VAT Amount 3 ,Numeric ,Up to 23 characters ,"This is the VAT amount. 
NOTE: Some countries will have three VAT amount fields because clients have more than one type of tax assessed and all the VAT amounts need to be stored. ",,,
224,VAT Amount 4 ,Numeric ,Up to 23 characters ,"This is the VAT amount. 
NOTE: Some countries will have four VAT amount fields because clients have more than one type of tax assessed and all the VAT amounts need to be stored. ",,,
225,VAT Rate 3 ,Numeric ,Percentage ,This is the tax rate associated with the tax amount field. There is one tax rate for each tax amount field. ,,,
226,VAT Rate 4 ,Numeric ,Percentage ,This is the tax rate associated with the tax amount field. There is one tax rate for each tax amount field. ,,,
227,Liability Accounting Code ,String ,48,"Added when creating a funding account or check configuration, Invoice Pay. ",,,
228,Cash Accounting Code ,String ,48,"Added when creating a funding account or check configuration, Invoice Pay. ",,,
229,Estimated Pay Date ,Numeric ,YYYY-MM-DD ,"This is the payment settlement date on the payment demand table. The system uses the Payment Date field of the newly-created invoice, plus the default payment terms from the associated vendor record. 
NOTE: The value in Payment Date can also be changed on the invoice - this information is then present in the extract. ",,,
230,Emergency Run ,Y/N ,1,If populated with a Y this invoice was slated for an emergency check run to be cut sooner than invoice terms. ,,,
231,Payment Request Xml Receipt UUID ,Numeric ,16,"The UUID data, if included, derived from the CFDi electronic invoice XML receipt, as required by Mexican SAT authority for tax purposes. ",,,
232,Remit Custom 16 ,String ,48,reserved for future use. ,,,
233,Remit Custom 17 ,String ,48,reserved for future use. ,,,
234,Remit Custom 18 ,String ,48,reserved for future use. ,,,
235,Remit Custom 19 ,String ,48,reserved for future use. ,,,
236,Remit Custom 20 ,String ,48,reserved for future use. ,,,
237,Future-use 41 ,String ,48,reserved for future use. ,,,
238,Future-use 42 ,String ,48,reserved for future use. ,,,
239,Future-use 43 ,String ,48,reserved for future use. ,,,
240,Future-use 44 ,String ,48,reserved for future use. ,,,
241,Future-use 45 ,String ,48,reserved for future use. ,,,
242,Request Provincial Tax Identification Number ,Alphanumeric ,Up to 15 characters ,This is the province tax ID for the extracted payment request. ,,,
243,Line Item Calculated Tax Rate ,Percentage ,7,"This is the tax rate for the line item, based on tax validation which has been performed on a payment request. Tax validation is based on attributes like commodity code/expense type, and address location(s). ",,,
244,Line Item Calculated Tax Amount ,Alphanumeric characters ,23,"This is the applied tax amount for the line item, based on tax validation which has been performed on a payment request. ",,,
245,Request Vendor Tax Identification Number ,Alphanumeric characters ,Up to 15 ,This is the tax identification number of the vendor. ,,,
246,VAT Tax Code 1 ,Alphanumeric characters ,Up to 20 ,You can associate a tax code to a relevant set of vendors. This information will then feed into your financial system to make it easier for your company to handle tax. ,,,
247,Request Line Item VAT Amount ,Numeric ,Up to 23 characters ,This field shows the sum of all VAT amounts from all line items on the Line Item level and ensures that employees follow company directives by accounting for all VAT amounts. ,,,
248,VAT Amount 1 ,Numeric ,Up to 23 characters ,"This is the VAT amount. 
NOTE: For clients who work with purchase orders, this field will provide them with the ability to forecast tax amounts prior to it showing up on the invoice. ",,,
249,VAT Amount 2 ,Numeric ,Up to 23 characters ,"This is the VAT amount. 
NOTE: Some countries will have two VAT amount fields because clients have two types of tax assessed and both the VAT amounts need to be stored. ",,,
250,VAT Rate 1 ,Numeric ,Percentage ,This is the tax rate associated with the tax amount field. ,,,
251,VAT Rate 2 ,Numeric ,Percentage ,This is the tax rate associated with the tax amount field. There is one tax rate for each tax amount field. ,,,
252,Request Amount Without VAT ,Numeric ,Up to 23 characters ,This is the net amount of the good/service without the tax applied which is applicable to clients who report amounts including Goods and Services Tax (GST). ,,,
253,Line Item VAT Amount ,Numeric ,Up to 23 characters ,The VAT associated with any given line item. ,,,
254,Line Item VAT Rate One ,Numeric ,Percentage ,This is the tax rate associated with the tax amount field. ,,,
255,Line Item Amount without VAT ,Numeric ,Up to 23 characters ,This is the net amount of the good/service without the tax applied which is applicable to clients who report amounts including Goods and Services Tax (GST). ,,,
256,Line Item VAT Tax Code ,Alphanumeric ,Up to 20 characters ,This field ensures that the correct tax code is associated to the line item tax amount. ,,,
,,,,,,,
,,,,,,,
